title,price,rating,reviews,availability,category,sales_rank,brand
"Corsair 4000D Airflow Tempered Glass Mid-Tower ATX Case (High-Airflow Front Panel, Tempered Glass Side Panel, RapidRoute Cable Management System, Spacious Interior, Two Included 120 mm Fans) Black",130.0,4.7,1,1,Computers,276.0,‎CORSAIR
"GEEKOM Mini IT13 Mini PC 13th Gen Intel Core i5-13500H (up to 4.70 GHz),16G DDR4 512G SSD,Support Extension Mini Computer Desktop, Support Four-Screen Display/Windows 11 Pro/WiFi 6E/BT5.2/2.5G LAN",849.0,4.8,8.0,1,Computers,9938.0,‎GEEKOM
"KAMRUI [Gaming PC] Mini PC AMD Ryzen 7 5700U Up to 4.3GHz, 16GB RAM 512GB SSD Small Computer, Radeon Vega 8 Micro Desktop PERF Adjustable, RGB Light, Upgrade Capacity, 4K HDMI DP Type-C",629.99,4.3,175.0,1,Computers,1199.0,‎KAMRUI
(Renewed) Dell OptiPlex 7050 SFF Desktop PC Core i5 7500 3.40GHz 16GB RAM 500GB SSD Windows 11 Pro with USB WiFi and Bluetooth Dongle - Front USB-C,389.0,4.6,3.0,1,Computers,16515.0,‎DELL
DELL Desktop PC 3020/Win 11/Core i5-4590/wajun WiFI/Bluetooth/DisplayPort/DVD-RW/16GB/1TB SSD (Renewed),349.0,5.0,1.0,1,Computers,24507.0,‎wajun
HP Desktop PC 600G2/Win 11/Core i5-6500/wajun WiFI/Bluetooth/Displayport/DVD-RW/8GB/128GB SSD (Renewed),289.0,5.0,2.0,1,Computers,45237.0,‎Hp
Lenovo M910s SFF Desktop PC i5-6500 3.6GHz 16GB RAM 1TB SSD Wi-Fi Windows 11 (Renewed),359.99,4.4,5.0,1,Computers,41462.0,‎Lenovo
Lenovo ThinkCentre M910s Desktop PC i7 7700 16GB RAM 256GB SSD Win 10 (Renewed),339.0,0.0,1.0,1,Computers,31592.0,‎Lenovo
"Lenovo M910s SFF Bundle Desktop PC i5-6500 3.6GHz 1TB SSD 16GB RAM + 22"" Monitor + Keyboard and Mouse (Renewed)",449.99,5.0,2.0,1,Computers,63683.0,‎Lenovo
"GEEKOM IT11 Windows 11 Pro Mini PC,11th Gen Intel Core i7-11390H (4C, 8T, up to 5.00 GHz) Mini Computer,32GB DDR4 RAM 1TB SSD,Mini Desktop Computer Support WiFi 6/BT5.2/1000M LAN/USB4+USB3.2",899.0,4.8,49.0,1,Computers,4149.0,‎GEEKOM
(Renewed) Dell OptiPlex 7040 SFF Desktop PC Core i5 6500 3.20GHz 16GB RAM 500GB SSD Windows 11 with USB WiFi and Bluetooth Dongle,369.0,4.6,5.0,1,Computers,42495.0,‎DELL
"Beelink 8-Core 16-Thread Ryzen 7 7840HS 5.1GHz Processor Mini Pc, SER7 32G DDR5 RAM 1TB PCIe 4.0 Mini Gaming Pc, Integrate 12-Core 2200MHz Graphics Support 4K@60Hz, USB4.0/USB3.2/HDMI/DP/WiFi6 BT5.2",1249.0,4.5,63.0,1,Computers,6491.0,‎Beelink
"GEEKOM Mini IT13 Mini PC,13th Gen Intel Core i9-13900H (up to 5.40 GHz) Mini Computer,32GB RAM 2TB SSD, Mini Computer Desktop Support Four-Screen Display(4K+8K)/WiFi 6E/BT5.2/2.5GbE LAN/Windows 11 Pro",1399.0,4.8,56.0,1,Computers,2052.0,‎GEEKOM
"Mini PC,16GB RAM 512GB SSD Mini Desktop Computer, KAMRUI Intel 12th Alder Lake N95 (up to 3.4GHz) Mini PC Windows 11 Pro",329.0,4.3,107.0,1,Computers,6381.0,‎KAMRUI
"MINISFORUM Neptune Mini PC HX99G AMD Ryzen 9 6900HX 32GB DDR5 1TB SSD, AMD Radeon RX 6600M Mini Gaming PC Wi-Fi 6E/BT5.2, 2xHDMI, 2X USB4 Port, 5X USB3.2 Port,2X Slot PCIe/SATA SSD",1231.99,4.5,50.0,1,Computers,19611.0,‎MINISFORUM
"HP EliteDesk 800 35W G3 Mini Desktop PC i5-6500T 2.5GHz 8GB RAM 256GB SSD Wi-Fi, Windows 11 (Renewed)",179.99,4.0,1.0,1,Computers,13089.0,‎HP
"Dreamquest Mini Desktop Computer Windows 11 Pro Preinstalled, Intel 12th N95 (up to 3.4GHz) Mini Pc 16GB RAM 512GB M.2 SSD, USB3.2, BT4.2,WiFi 5,4k 60Hz HDMI, Dual Gigabit Port, Cooling Fan",309.99,4.8,6.0,1,Computers,1458.0,‎DreamQuest
"Beelink MINI-S12 Mini PC, 12th Gen Intel Alder Lake-N95 Processor (up to 3.40GHz) W11 Mini Computer, 16GB RAM 500GB SSD Business Mini Desktop PC, Dual HDMI/WiFi 5/BT 4.2/RJ45/WOL/Auto Power On",359.0,4.4,74.0,1,Computers,9901.0,‎Beelink
"Elgato Stream Deck Mini – Compact Studio Controller, 6 macro keys, trigger actions in apps and software like OBS, Twitch, YouTube and more, works with Mac and PC Black 10GAI9901",99.0,4.7,1,1,Computers,1642.0,‎Elgato
"GEEKOM Rose Gold A5 Mini PC,AMD Ryzen7 5800H 32GB DDR4 512G SSD Mini Computer(8C/16T,up to 4.4 GHz),Mini Desktop Computer Support 2*HDMI+2*Type-C Four-Screen 4K+8K Output,WiFi6, BT4.0, USB3.2,WOL,RJ45",594.15,4.7,10.0,1,Computers,8402.0,‎GEEKOM
"GEEKOM A7 Mini PC,Mini Desktop Computer AMD Ryzen 7 7840HS up to 5.1 GHz 32 GB DDR5 1TB SSD HDMI2.0/USB Type-C Wi-Fi 6E/BT5.2, RJ45 2.5G LAN for Business Home Office Game",1299.99,5.0,4.0,1,Computers,19881.0,‎GEEKOM
"GEEKOM Mini IT12 Mini PC,12th Gen Intel Core i7-12650H (up to 4.70 GHz) 32G DDR4 RAM 1TB SSD Mini Computer, Mini Desktop Computer,Support Dual HDMI+Dual USB4.0/WiFi 6E/BT5.2/Windows 11 Pro",999.0,4.6,22.0,1,Computers,18216.0,‎GEEKOM
(Renewed) Dell OptiPlex 7040 SFF Desktop PC Core i7 6700 3.40GHz 16GB RAM 240GB M.2 SSD Windows 11 with USB WiFi and Bluetooth Dongle,445.0,5.0,3.0,1,Computers,30067.0,‎DELL
HP EliteDesk 800 G5 i5 Desktop PC (7YX54PA) (Renewed),349.0,0.0,1.0,1,Computers,19545.0,‎HP
"GEEKOM Mini IT12 Mini PC,12th Gen Intel Core i7-12650H (up to 4.70 GHz) 32G DDR4 RAM 1TB SSD Mini Computer, Mini Desktop Computer,Support Dual HDMI+Dual USB4.0/WiFi 6E/BT5.2/Windows 11 Pro",999.0,4.6,22.0,1,Computers,18216.0,‎GEEKOM
ACER Aspire XC-1780 Desktop,1099.0,5.0,2.0,1,Computers,14327.0,‎ACER
"MINISFORUM UM780 XTX AMD Ryzen 7 7840HS,8C/16T 32GB DDR5 1TB PCIe SSD 4.0 Mini Desktop PC,2 x RJ45 2.5 G,HDMI2.1/DP/2xUSB4,1xOP,4XUSB Port,WIFI6E & BT5,Mini Computer",1129.99,4.2,80.0,1,Computers,2819.0,‎MINISFORUM
"Mini PC AMD Ryzen 7 5800H(8C/16T, Up to 4.4GHz) 16G DDR4 500G NVME SSD, Trigkey Speed S5 Mini Desktop Computer,Support Radeon Graphics 8Cores 2000MHz| WiFi6 | BT5.2 | HDMI |DP| Type-C | USB 3.2",689.0,4.6,87.0,1,Computers,4246.0,‎TRIGKEY
"KAMRUI Mini PC, 12th Gen Intel i5-12450H Mini Computers(8 Cores,12 Threads) 16GB DDR4 512GB PCIe SSD Windows 11 Pro Desktop Computer Support Wi-Fi 6/BT5.2 Office,Business,Home",499.0,4.2,262.0,1,Computers,3563.0,‎KAMRUI
"Beelink N5095 Processor Business Mini PC, Intel 11th Gen 4 Cores, 8GB DDR4 128G SSD, 4K Dual HDMI Office PC Mini, Auto Power On/Wake On LAN, 2.4G/5G WiFi, Gigabit Ethernet, USB 3.0",269.0,4.5,35.0,1,Computers,1535.0,‎Beelink
"Mini Desktop Computers,DreamQuest Mini PC Windows 11 Pro,12th Gen Intel N95 (up to 3.40GHz) 16GB 512GB SSD with 4K HDMI/USB3.2/Dual-Band WiFi5,Bluetooth 4.2,2X Gigabit for Office",309.99,4.6,17.0,1,Computers,8620.0,‎DreamQuest
"GEEKOM Mini IT13 Mini PC 13th Gen Intel Core i5-13500H (up to 4.70 GHz),16G DDR4 512G SSD,Support Extension Mini Computer Desktop, Support Four-Screen Display/Windows 11 Pro/WiFi 6E/BT5.2/2.5G LAN",849.0,4.8,8.0,1,Computers,9938.0,‎GEEKOM
Thermaltake Computer System Infinity Xtreme V2 - Intel 12700 / RTX 4080 / Z690 / 32GB RGB RAM / H570 ARGB,3038.95,4.4,6.0,1,Computers,11045.0,‎Thermaltake
"MeLE Mini PC Quieter 4C - 12th Gen N100, Fanless Design, 16GB RAM, 512GB ROM, Windows 11 Pro, Dual LAN, 2.4/5G Wi-Fi, Full-Functional USB-C, 4K Triple Display Desktop on Home, Office, Education, IoT…",352.89,4.4,379.0,1,Computers,2209.0,‎MeLE
(Renewed) Dell OptiPlex 7040 SFF Desktop PC Core i5 6500 3.20GHz 32GB RAM 1TB SSD Windows 11 with USB WiFi and Bluetooth Dongle,579.0,3.8,7.0,1,Computers,28896.0,‎DELL
"Beelink Alder Lake-N100 Processor (Up to 3.40GHz) Mini Computer, MINI-S12 Pro Mini PC, 16GB RAM 500GB SSD Business Mini Desktop PC, Dual HDMI/WiFi 6/BT 5 .2/RJ45/WOL/Auto Power On",265.15,4.6,64.0,1,Computers,149.0,‎Beelink
"PELADN WI-6 Mini PC, Intel 12th Alder Lake- N100(Max 3.4GHz) Mini Desktop Computer, 16GB DDR4 RAM 512GB M.2 PCIe SSD, Desktop Computer Support 4K Dual Display/USB3.2/WiFi 5/BT4.2, Gigabit Ethernet",349.0,4.2,22.0,1,Computers,1560.0,‎PELADN
Allied Stinger Ryzen 5 5500 | RTX 3060 12GB | 16GB RAM | 1TB SSD | Win 11 | Gaming PC | Desktop Computer,1449.0,5.0,1.0,1,Computers,6320.0,‎A ALLIED GAME AS ONE.
"TRIGKEY Speed S5 Mini PC AMD Ryzen 7 5800H(Up to 4.4GHz) 32G DDR4 1T SSD, Mini Desktop Computer, HDMI, DP, Type-C, Triple-Screen 4K Output, WiFi6, BT5.2, USB3.2, Auto Power on, Wake-on-LAN",779.0,4.4,171.0,1,Computers,16062.0,‎TRIGKEY
"MeLE Slim Mini PC Overclock4C Windows 11 Pro,N95 16GB RAM 512GB Micro Computer,Small Desktop for Industrial IOT Business Dual 4K HDMI Full Function USB-C WiFi 6 Gigabit Ethernet BT5.2…",359.89,4.4,1,1,Computers,19374.0,‎MeLE
