title,price,rating,reviews,availability,category,sales_rank,brand
"Corsair 4000D Airflow Tempered Glass Mid-Tower ATX Case (High-Airflow Front Panel, Tempered Glass Side Panel, RapidRoute Cable Management System, Spacious Interior, Two Included 120 mm Fans) Black",$130.00,4.7 out of 5 stars,"30,351 ratings",In stock,Computers,276,‎CORSAIR
"Qcta-Core i9 9880H Mini Desktop PC, Windows 11 Mini Computer, 16GB DDR4 RAM 512GB NVME SSD, UHD Graphics 630,HDMI,DP,USB3.0,Gigabit RJ45 LAN,WiFi AC,Bluetooth,AUTO Power ON,19V Low PC Consumption",$979.99,5.0 out of 5 stars,6 ratings,In stock,,,‎ASPIRING
"GEEKOM Mini IT13 Mini PC 13th Gen Intel Core i5-13500H (up to 4.70 GHz),16G DDR4 512G SSD,Support Extension Mini Computer Desktop, Support Four-Screen Display/Windows 11 Pro/WiFi 6E/BT5.2/2.5G LAN",$849.00,4.8 out of 5 stars,8,In stock,Computers,"9,938",‎GEEKOM
"11th Generation i7 1165G7 Quad Core Mini PC, Small Desktop Computer Windows 11 Pro, 64GB DDR4 RAM 1TB NVME SSD, Integrated Iris Xe Graphics, HDMI, DP, USB, Gigabit RJ45 LAN, WiFi AC, Bluetooth","$1,499.99",4.4 out of 5 stars,,Only 2 left in stock.,Computers,"214,874",‎ASPIRING
"KAMRUI [Gaming PC] Mini PC AMD Ryzen 7 5700U Up to 4.3GHz, 16GB RAM 512GB SSD Small Computer, Radeon Vega 8 Micro Desktop PERF Adjustable, RGB Light, Upgrade Capacity, 4K HDMI DP Type-C",$629.99,4.3 out of 5 stars,175 ratings,In stock,Computers,"1,199",‎KAMRUI
(Renewed) Dell OptiPlex 7050 SFF Desktop PC Core i5 7500 3.40GHz 16GB RAM 500GB SSD Windows 11 Pro with USB WiFi and Bluetooth Dongle - Front USB-C,$389.00,4.6 out of 5 stars,3,In stock,Computers,"16,515",‎DELL
DELL Desktop PC 3020/Win 11/Core i5-4590/wajun WiFI/Bluetooth/DisplayPort/DVD-RW/16GB/1TB SSD (Renewed),$349.00,5.0 out of 5 stars,1 rating,In stock,Computers,"24,507",‎wajun
HP Desktop PC 600G2/Win 11/Core i5-6500/wajun WiFI/Bluetooth/Displayport/DVD-RW/8GB/128GB SSD (Renewed),$289.00,5.0 out of 5 stars,2 ratings,Only 4 left in stock.,Computers,"45,237",‎Hp
Lenovo M910s SFF Desktop PC i5-6500 3.6GHz 16GB RAM 1TB SSD Wi-Fi Windows 11 (Renewed),$359.99,4.4 out of 5 stars,5 ratings,In stock,Computers,"41,462",‎Lenovo
Lenovo ThinkCentre M910s Desktop PC i7 7700 16GB RAM 256GB SSD Win 10 (Renewed),$339.00,Previous page of related Sponsored Products,,In stock,Computers,"31,592",‎Lenovo
